YEAR,SUBSECTOR,CE,CI,EI,CS,SA,AE,EP,LPCU,CPT_1,CPT_2,CPT_3,CET_1,CET_2,CET_3,FSIZE,FLEV,INNOV,TANG,CO2_TAX_1,CO2_TAX_2,CO2_TAX_3,CO2_T1,CO2_T2,CO2_T3
2010,A,8.303917621,4.469025296,0.04430045643,0.2011057153,4.779194819,1.749940065,0.2221050777,5.616123314,4.419891343,4.720921338,4.897012597,7.002887625,7.303917621,7.48000888,5.205704976,0.4285518573,3.836767047,4.475322451,26296.1,52592.2,78888.3,10066711.56,20133423.12,30200134.68
2010,A,8.260743905,4.469360334,0.02432010739,0.3764438077,6.595380801,1.297769107,0.2187590068,5.557314674,4.230180598,4.531210593,4.707301853,6.959713909,7.260743905,7.436835164,5.010478049,0.2294469065,3.769081787,4.414973348,16989.5,33979,50968.5,9114102.513,18228205.03,27342307.54
2010,A,8.41357581,4.469030488,0.03432163923,0.4386976359,5.97753326,1.433856305,0.2286926826,5.474532106,4.081176221,4.382206217,4.558297476,7.112545815,7.41357581,7.589667069,4.990290005,0.3025800448,3.953179601,4.544068044,12055.25,24110.5,36165.75,12958233.89,25916467.79,38874701.68
2010,A,8.42989464,4.468502088,0.03567670754,0.3800683211,6.272123071,1.369625829,0.226072005,5.540882816,4.207915639,4.508945634,4.685036894,7.128864645,7.42989464,7.605985899,5.03173154,0.2698735825,3.95264717,4.579783597,16140.45,32280.9,48421.35,13454409.59,26908819.18,40363228.77
2010,A,8.312869363,4.469251046,0.04546467242,0.2004496472,8.015423761,1.427917825,0.158429285,5.625473789,4.418235811,4.719265806,4.895357065,7.011839368,7.312869363,7.488960622,4.980012467,0.2996795879,3.993876915,4.538611431,26196.05,52392.1,78588.15,10276361.36,20552722.72,30829084.08
2010,A,8.456131064,4.468639071,0.03672911755,0.3491396036,6.765792153,1.270647771,0.2054926433,5.632342275,4.307031544,4.608061539,4.784152798,7.155101069,7.456131064,7.632222323,5.049163732,0.2129998393,3.751279104,4.549444693,20278.3,40556.6,60834.9,14292265.29,28584530.57,42876795.86
2010,A,8.30962295,4.469513406,0.02730515628,0.4497785129,5.049096302,1.330610834,0.3087960236,5.433929766,4.041386763,4.342416759,4.518508018,7.008592955,7.30962295,7.485714209,5.04765252,0.2484654605,3.952162574,4.538611431,10999.85,21999.7,32999.55,10199830.5,20399660.99,30599491.49
2010,A,8.509572197,4.467775827,0.07176387795,0.200661272,7.242601925,1.348267539,0.1875518589,5.620634843,4.423724154,4.724754149,4.900845409,7.208542201,7.509572197,7.685663456,5.023532294,0.2583074416,3.895698727,4.475322451,26529.2,53058.4,79587.6,16163752.83,32327505.67,48491258.5
2010,A,8.435888988,4.468921495,0.06040478743,0.2237657697,6.439237415,1.237880444,0.2394641135,5.555348902,4.349458203,4.650488199,4.826579458,7.134858992,7.435888988,7.611980247,5.027268042,0.1921675432,3.829689641,4.45580382,22359.3,44718.6,67077.9,13641401.52,27282803.04,40924204.55
2010,A,8.306404282,4.470193222,0.02706338836,0.321692978,6.504830639,1.365206412,0.1922926848,5.663990233,4.356143503,4.657173498,4.833264757,7.005374286,7.306404282,7.482495541,5.083151316,0.2675100329,3.944186461,4.429348473,22706.15,45412.3,68118.45,10124516.36,20249032.71,30373549.07
2010,A,8.346834787,4.470697128,0.02954116985,0.4506585121,4.547898212,1.368254038,0.3380135864,5.42895076,4.032642932,4.333672928,4.509764187,7.045804792,7.346834787,7.522926046,5.094051656,0.2691415687,3.952114085,4.544068044,10780.6,21561.2,32341.8,11112321.34,22224642.68,33336964.02
2010,A,8.402210033,4.468598484,0.03525737205,0.3602669335,5.907273999,1.337058425,0.2493418583,5.535404516,4.224741484,4.52577148,4.701862739,7.101180037,7.402210033,7.578301292,5.058350092,0.2520895261,3.947384702,4.579783597,16778.05,33556.1,50334.15,12623507.36,25247014.71,37870522.07
2010,A,8.495655451,4.468740751,0.0437072104,0.3212766968,6.592367661,1.407342101,0.1960854933,5.619595819,4.328140982,4.629170977,4.805262236,7.194625455,7.495655451,7.67174671,5.060440964,0.2894407128,3.947286645,4.574563676,21288.3,42576.6,63864.9,15654004.52,31308009.04,46962013.56
2010,A,8.47781828,4.477143771,0.1001554321,0.1762595951,5.834961741,1.32324442,0.4013703838,5.262623824,4.307998502,4.609028497,4.785119757,7.176788284,7.47781828,7.653909539,4.987809219,0.244281718,3.538448052,4.380211242,20323.5,40647,60970.5,15024093.72,30048187.45,45072281.17
2010,A,8.475337883,4.476793532,0.02802147617,0.5265865701,5.696892765,1.360155103,0.5188027921,5.225354777,4.080271042,4.381301038,4.557392297,7.174307887,7.475337883,7.651429142,5.073945517,0.2647897303,3.759441197,4.409561195,12030.15,24060.3,36090.45,14938530.81,29877061.62,44815592.42
2010,A,8.683426548,4.478770184,0.0600542567,0.4056209572,5.687355686,1.323243998,0.8548883184,5.009532478,4.187498159,4.488528155,4.664619414,7.382396553,7.683426548,7.859517807,5.063081793,0.2442814767,3.890309217,4.447127009,15399.2,30798.4,46197.6,24121069.08,48242138.17,72363207.25
2010,A,8.545662349,4.478669237,0.04581328667,0.3266155146,6.275336193,1.417252156,0.3937662804,5.347642205,4.337638932,4.638668928,4.814760187,7.244632353,7.545662349,7.721753608,5.094327854,0.2944092581,3.895312024,4.574540541,21759,43518,65277,17564360.93,35128721.86,52693082.8
2010,A,8.504626925,4.477162049,0.02896726354,0.5442998256,6.152527865,1.247710591,0.5808339449,5.18049977,4.057472111,4.358502107,4.534593366,7.203596929,7.504626925,7.680718184,5.040665621,0.19853209,3.678973376,4.441930675,11414.9,22829.8,34244.7,15980741.6,31961483.21,47942224.81
